station,x,y,azimuth_deg,curvature,design_z,grade,slope_left_L,slope_left_R,ground
K10+300.000,259.8076,150.0000,60.000000,0.00000000,132.8000,0.01600,0.0200,-0.0200,130.695
K10+310.000,268.4679,155.0000,60.000000,0.00000000,132.9600,0.01600,0.0200,-0.0200,130.584
K10+320.000,277.1281,160.0000,60.000000,0.00000000,133.1200,0.01600,0.0200,-0.0200,130.439
K10+330.000,285.7873,165.0019,59.962795,0.00012987,133.2800,0.01600,0.0218,-0.0145,130.254
K10+340.000,294.4400,170.0150,59.851180,0.00025974,133.4400,0.01600,0.0236,-0.0091,130.022
K10+350.000,303.0796,175.0506,59.665155,0.00038961,133.6000,0.01600,0.0255,-0.0036,129.735
K10+360.000,311.6995,180.1198,59.404719,0.00051948,133.7600,0.01600,0.0273,0.0018,129.387
K10+370.000,320.2930,185.2337,59.069874,0.00064935,133.9200,0.01600,0.0291,0.0073,128.972
K10+380.000,328.8531,190.4032,58.660618,0.00077922,134.0800,0.01600,0.0309,0.0127,128.485
K10+390.000,337.3726,195.6394,58.176952,0.00090909,134.2350,0.01500,0.0327,0.0182,127.923
K10+400.000,345.8442,200.9527,57.618877,0.00103896,134.3800,0.01400,0.0345,0.0236,127.289
K10+410.000,354.2601,206.3538,56.986391,0.00116883,134.5150,0.01300,0.0364,0.0291,126.585
K10+420.000,362.6122,211.8529,56.279495,0.00129870,134.6400,0.01200,0.0382,0.0345,125.821
K10+430.000,370.8923,217.4599,55.498189,0.00142857,134.7550,0.01100,0.0400,0.0400,125.008
K10+440.000,379.0926,223.1829,54.679678,0.00142857,134.8600,0.01000,0.0400,0.0400,124.163
K10+450.000,387.2104,229.0225,53.861166,0.00142857,134.9550,0.00900,0.0400,0.0400,123.306
K10+460.000,395.2439,234.9774,53.042655,0.00142857,135.0400,0.00800,0.0400,0.0400,122.461
K10+470.000,403.1915,241.0465,52.224144,0.00142857,135.1150,0.00700,0.0400,0.0400,121.654
K10+480.000,411.0516,247.2285,51.405633,0.00142857,135.1800,0.00600,0.0400,0.0400,120.913
K10+490.000,418.8226,253.5221,50.587122,0.00142857,135.2350,0.00500,0.0400,0.0400,120.262
K10+500.000,426.5029,259.9261,49.768611,0.00142857,135.2800,0.00400,0.0400,0.0400,119.727
K10+510.000,434.0909,266.4392,48.950100,0.00142857,135.3150,0.00300,0.0400,0.0400,119.329
K10+520.000,441.5852,273.0600,48.131589,0.00142857,135.3400,0.00200,0.0400,0.0400,119.083
K10+530.000,448.9840,279.7872,47.313077,0.00142857,135.3550,0.00100,0.0400,0.0400,119.000
K10+540.000,456.2860,286.6194,46.494566,0.00142857,135.3600,0.00000,0.0400,0.0400,119.083
K10+550.000,463.4897,293.5552,45.676055,0.00142857,135.3550,-0.00100,0.0400,0.0400,119.329
K10+560.000,470.5936,300.5932,44.857544,0.00142857,135.3400,-0.00200,0.0400,0.0400,119.727
K10+570.000,477.5962,307.7319,44.039033,0.00142857,135.3150,-0.00300,0.0400,0.0400,120.262
K10+580.000,484.4961,314.9700,43.220522,0.00142857,135.2800,-0.00400,0.0400,0.0400,120.913
K10+590.000,491.2919,322.3059,42.402011,0.00142857,135.2350,-0.00500,0.0400,0.0400,121.654
K10+600.000,497.9822,329.7382,41.583499,0.00142857,135.1800,-0.00600,0.0400,0.0400,122.461
K10+610.000,504.5656,337.2652,40.764988,0.00142857,135.1150,-0.00700,0.0400,0.0400,123.306
K10+620.000,511.0409,344.8855,39.946477,0.00142857,135.0400,-0.00800,0.0400,0.0400,124.163
K10+630.000,517.4083,352.5962,39.165171,0.00129870,134.9550,-0.00900,0.0382,0.0345,125.008
K10+640.000,523.6750,360.3889,38.458275,0.00116883,134.8600,-0.01000,0.0364,0.0291,125.821
K10+650.000,529.8503,368.2544,37.825789,0.00103896,134.7550,-0.01100,0.0345,0.0236,126.585
K10+660.000,535.9435,376.1836,37.267713,0.00090909,134.6400,-0.01200,0.0327,0.0182,127.289
K10+670.000,541.9644,384.1678,36.784048,0.00077922,134.5200,-0.01200,0.0309,0.0127,127.923
K10+680.000,547.9229,392.1988,36.374792,0.00064935,134.4000,-0.01200,0.0291,0.0073,128.485
K10+690.000,553.8291,400.2682,36.039947,0.00051948,134.2800,-0.01200,0.0273,0.0018,128.972
K10+700.000,559.6933,408.3683,35.779511,0.00038961,134.1600,-0.01200,0.0255,-0.0036,129.387
K10+710.000,565.5259,416.4911,35.593486,0.00025974,134.0400,-0.01200,0.0236,-0.0091,129.735
K10+720.000,571.3374,424.6291,35.481871,0.00012987,133.9200,-0.01200,0.0218,-0.0145,130.022
K10+730.000,577.1383,432.7746,35.444666,0.00000000,133.8000,-0.01200,0.0200,-0.0200,130.254
K10+740.000,582.9375,440.9214,35.444666,0.00000000,133.6800,-0.01200,0.0200,-0.0200,130.439
K10+750.000,588.7367,449.0681,35.444666,0.00000000,133.5600,-0.01200,0.0200,-0.0200,130.584
K10+760.000,594.5358,457.2149,35.444666,0.00000000,133.4400,-0.01200,0.0200,-0.0200,130.695
