bearing,kind,type,support,deck,unit,line,te_mm,S,to_fixed_point_m,age_d,strain_temp_1e6,strain_shrink_1e6,strain_creep_1e6,contract_mm,expand_mm,brake_mm,shear_allow_mm,util_shear,theta_rad,compression_mm,util_rotation,util_compression,plate_need_mm,util_slip,util_friction,slide_travel_m,util_travel
B-L01-1a,伸缩端,四氟滑板,A00,L,1,1,60,10.00,59.569,19,230.0,282.9,288.3,47.7,14.3,0.0,,,0.00395,1.045,0.851,0.271,1.51,,0.662,0.278,0.794
B-L01-2a,伸缩端,四氟滑板,A00,L,1,2,60,10.00,59.355,19,230.0,282.9,288.3,47.6,14.2,0.0,,,0.00356,0.966,0.829,0.251,1.40,,0.612,0.278,0.793
B-L01-3a,伸缩端,四氟滑板,A00,L,1,3,60,10.00,59.242,19,230.0,282.9,288.3,47.5,14.2,0.0,,,0.00333,0.953,0.787,0.247,1.38,,0.604,0.278,0.793
B-L01-4a,伸缩端,四氟滑板,A00,L,1,4,60,10.00,59.230,19,230.0,282.9,288.3,47.5,14.2,0.0,,,0.00351,0.964,0.819,0.250,1.40,,0.611,0.278,0.793
B-L01-5a,伸缩端,四氟滑板,A00,L,1,5,60,10.00,59.320,19,230.0,282.9,288.3,47.5,14.2,0.0,,,0.00387,1.039,0.838,0.270,1.50,,0.658,0.278,0.793
B-L04-1b,伸缩端,四氟滑板,P04,L,1,1,60,10.00,59.465,19,230.0,282.9,288.3,47.6,14.3,0.0,,,0.00396,1.047,0.851,0.272,1.52,,0.663,0.278,0.794
B-L04-2b,伸缩端,四氟滑板,P04,L,1,2,60,10.00,59.194,19,230.0,282.9,288.3,47.4,14.2,0.0,,,0.00351,0.963,0.820,0.250,1.39,,0.610,0.278,0.793
B-L04-3b,伸缩端,四氟滑板,P04,L,1,3,60,10.00,59.024,19,230.0,282.9,288.3,47.3,14.2,0.0,,,0.00326,0.948,0.774,0.246,1.37,,0.601,0.277,0.793
B-L04-4b,伸缩端,四氟滑板,P04,L,1,4,60,10.00,58.956,19,230.0,282.9,288.3,47.2,14.1,0.0,,,0.00344,0.960,0.807,0.249,1.39,,0.608,0.277,0.793
B-L04-5b,伸缩端,四氟滑板,P04,L,1,5,60,10.00,58.989,19,230.0,282.9,288.3,47.3,14.2,0.0,,,0.00377,1.032,0.822,0.268,1.49,,0.654,0.277,0.793
B-L05-1a,伸缩端,四氟滑板,P04,L,2,1,60,10.00,59.423,18,230.0,284.1,291.3,47.9,14.3,0.0,,,0.00396,1.047,0.851,0.272,1.52,,0.663,0.278,0.794
B-L05-2a,伸缩端,四氟滑板,P04,L,2,2,60,10.00,59.149,18,230.0,284.1,291.3,47.6,14.2,0.0,,,0.00351,0.963,0.820,0.250,1.39,,0.610,0.278,0.794
B-L05-3a,伸缩端,四氟滑板,P04,L,2,3,60,10.00,58.975,18,230.0,284.1,291.3,47.5,14.2,0.0,,,0.00327,0.949,0.775,0.246,1.37,,0.601,0.278,0.793
B-L05-4a,伸缩端,四氟滑板,P04,L,2,4,60,10.00,58.903,18,230.0,284.1,291.3,47.4,14.1,0.0,,,0.00344,0.961,0.807,0.249,1.39,,0.609,0.278,0.793
B-L05-5a,伸缩端,四氟滑板,P04,L,2,5,60,10.00,58.932,18,230.0,284.1,291.3,47.5,14.1,0.0,,,0.00377,1.032,0.822,0.268,1.49,,0.654,0.278,0.793
B-L08-1b,伸缩端,四氟滑板,P08,L,2,1,60,10.00,59.423,18,230.0,284.1,291.3,47.9,14.3,0.0,,,0.00396,1.047,0.851,0.272,1.52,,0.663,0.278,0.794
B-L08-2b,伸缩端,四氟滑板,P08,L,2,2,60,10.00,59.149,18,230.0,284.1,291.3,47.6,14.2,0.0,,,0.00351,0.963,0.820,0.250,1.39,,0.610,0.278,0.794
B-L08-3b,伸缩端,四氟滑板,P08,L,2,3,60,10.00,58.975,18,230.0,284.1,291.3,47.5,14.2,0.0,,,0.00327,0.949,0.774,0.246,1.37,,0.601,0.278,0.793
B-L08-4b,伸缩端,四氟滑板,P08,L,2,4,60,10.00,58.903,18,230.0,284.1,291.3,47.4,14.1,0.0,,,0.00344,0.961,0.807,0.249,1.39,,0.609,0.278,0.793
B-L08-5b,伸缩端,四氟滑板,P08,L,2,5,60,10.00,58.932,18,230.0,284.1,291.3,47.5,14.1,0.0,,,0.00377,1.032,0.822,0.268,1.49,,0.654,0.278,0.793
B-L09-1a,伸缩端,四氟滑板,P08,L,3,1,60,10.00,59.486,18,230.0,284.1,291.3,47.9,14.3,0.0,,,0.00396,1.047,0.851,0.272,1.52,,0.663,0.278,0.794
B-L09-2a,伸缩端,四氟滑板,P08,L,3,2,60,10.00,59.218,18,230.0,284.1,291.3,47.7,14.2,0.0,,,0.00351,0.963,0.820,0.250,1.39,,0.610,0.278,0.794
B-L09-3a,伸缩端,四氟滑板,P08,L,3,3,60,10.00,59.052,18,230.0,284.1,291.3,47.6,14.2,0.0,,,0.00326,0.948,0.774,0.246,1.37,,0.601,0.278,0.793
B-L09-4a,伸缩端,四氟滑板,P08,L,3,4,60,10.00,58.986,18,230.0,284.1,291.3,47.5,14.2,0.0,,,0.00344,0.960,0.807,0.249,1.39,,0.608,0.278,0.793
B-L09-5a,伸缩端,四氟滑板,P08,L,3,5,60,10.00,59.023,18,230.0,284.1,291.3,47.5,14.2,0.0,,,0.00377,1.031,0.822,0.268,1.49,,0.653,0.278,0.793
B-L12-1b,伸缩端,四氟滑板,A12,L,3,1,60,10.00,59.603,18,230.0,284.1,291.3,48.0,14.3,0.0,,,0.00395,1.045,0.852,0.271,1.51,,0.662,0.278,0.795
B-L12-2b,伸缩端,四氟滑板,A12,L,3,2,60,10.00,59.400,18,230.0,284.1,291.3,47.8,14.3,0.0,,,0.00356,0.966,0.830,0.251,1.40,,0.612,0.278,0.794
B-L12-3b,伸缩端,四氟滑板,A12,L,3,3,60,10.00,59.299,18,230.0,284.1,291.3,47.8,14.2,0.0,,,0.00334,0.953,0.788,0.248,1.38,,0.604,0.278,0.794
B-L12-4b,伸缩端,四氟滑板,A12,L,3,4,60,10.00,59.298,18,230.0,284.1,291.3,47.8,14.2,0.0,,,0.00355,0.966,0.826,0.251,1.40,,0.612,0.278,0.794
B-L12-5b,伸缩端,四氟滑板,A12,L,3,5,60,10.00,59.398,18,230.0,284.1,291.3,47.8,14.3,0.0,,,0.00388,1.040,0.840,0.270,1.50,,0.659,0.278,0.794
B-P01-L1,连续墩,普通板式,P01,L,1,1,65,8.92,30.287,20,230.0,281.8,285.5,24.1,7.3,5.1,30.0,0.805,0.00113,1.394,0.203,0.332,2.10,0.452,,,
B-P01-L2,连续墩,普通板式,P01,L,1,2,65,8.92,29.927,20,230.0,281.8,285.5,23.9,7.2,5.1,30.0,0.795,0.00088,1.303,0.168,0.310,1.96,0.433,,,
B-P01-L3,连续墩,普通板式,P01,L,1,3,65,8.92,29.764,20,230.0,281.8,285.5,23.7,7.1,5.1,30.0,0.791,0.00073,1.269,0.144,0.302,1.91,0.432,,,
B-P01-L4,连续墩,普通板式,P01,L,1,4,65,8.92,29.803,20,230.0,281.8,285.5,23.8,7.2,5.1,30.0,0.792,0.00087,1.312,0.166,0.312,1.98,0.427,,,
B-P01-L5,连续墩,普通板式,P01,L,1,5,65,8.92,30.042,20,230.0,281.8,285.5,24.0,7.2,5.1,30.0,0.798,0.00112,1.384,0.202,0.330,2.08,0.454,,,
B-P01-R1,连续墩,普通板式,P01,R,1,1,65,8.92,30.742,21,230.0,280.7,282.9,24.4,7.4,5.1,30.0,0.813,0.00113,1.403,0.202,0.334,2.11,0.451,,,
B-P01-R2,连续墩,普通板式,P01,R,1,2,65,8.92,30.386,21,230.0,280.7,282.9,24.1,7.3,5.1,30.0,0.804,0.00091,1.320,0.172,0.314,1.99,0.429,,,
B-P01-R3,连续墩,普通板式,P01,R,1,3,65,8.92,30.225,21,230.0,280.7,282.9,24.0,7.3,5.1,30.0,0.800,0.00075,1.287,0.145,0.306,1.94,0.428,,,
B-P01-R4,连续墩,普通板式,P01,R,1,4,65,8.92,30.262,21,230.0,280.7,282.9,24.0,7.3,5.1,30.0,0.801,0.00090,1.309,0.171,0.312,1.97,0.432,,,
B-P01-R5,连续墩,普通板式,P01,R,1,5,65,8.92,30.496,21,230.0,280.7,282.9,24.2,7.3,5.1,30.0,0.807,0.00112,1.390,0.202,0.331,2.09,0.455,,,
B-P02-L1,连续墩,普通板式,P02,L,1,1,65,8.92,5.247,20,230.0,281.8,285.5,4.2,1.3,5.1,30.0,0.222,0.00083,1.308,0.159,0.312,1.97,0.139,,,
B-P02-L2,连续墩,普通板式,P02,L,1,2,65,8.92,2.797,20,230.0,281.8,285.5,2.2,0.7,5.1,30.0,0.176,0.00061,1.218,0.126,0.290,1.83,0.103,,,
B-P02-L3,连续墩,普通板式,P02,L,1,3,65,8.92,0.348,20,230.0,281.8,285.5,0.3,0.1,5.1,30.0,0.129,0.00049,1.196,0.103,0.285,1.80,0.068,,,
B-P02-L4,连续墩,普通板式,P02,L,1,4,65,8.92,2.104,20,230.0,281.8,285.5,1.7,0.5,5.1,30.0,0.163,0.00061,1.222,0.124,0.291,1.84,0.093,,,
B-P02-L5,连续墩,普通板式,P02,L,1,5,65,8.92,4.553,20,230.0,281.8,285.5,3.6,1.1,5.1,30.0,0.209,0.00082,1.289,0.159,0.307,1.94,0.133,,,
B-P02-R1,连续墩,普通板式,P02,R,1,1,65,8.92,5.253,21,230.0,280.7,282.9,4.2,1.3,5.1,30.0,0.222,0.00088,1.325,0.166,0.315,1.99,0.137,,,
B-P02-R2,连续墩,普通板式,P02,R,1,2,65,8.92,2.802,21,230.0,280.7,282.9,2.2,0.7,5.1,30.0,0.176,0.00065,1.242,0.130,0.296,1.87,0.100,,,
B-P02-R3,连续墩,普通板式,P02,R,1,3,65,8.92,0.353,21,230.0,280.7,282.9,0.3,0.1,5.1,30.0,0.129,0.00050,1.209,0.103,0.288,1.82,0.067,,,
B-P02-R4,连续墩,普通板式,P02,R,1,4,65,8.92,2.097,21,230.0,280.7,282.9,1.7,0.5,5.1,30.0,0.162,0.00063,1.230,0.128,0.293,1.85,0.092,,,
B-P02-R5,连续墩,普通板式,P02,R,1,5,65,8.92,4.549,21,230.0,280.7,282.9,3.6,1.1,5.1,30.0,0.209,0.00084,1.313,0.161,0.313,1.98,0.129,,,
B-P03-L1,连续墩,普通板式,P03,L,1,1,65,8.92,30.296,20,230.0,281.8,285.5,24.2,7.3,5.1,30.0,0.805,0.00112,1.390,0.201,0.331,2.09,0.454,,,
B-P03-L2,连续墩,普通板式,P03,L,1,2,65,8.92,29.918,20,230.0,281.8,285.5,23.9,7.2,5.1,30.0,0.795,0.00088,1.302,0.170,0.310,1.96,0.433,,,
B-P03-L3,连续墩,普通板式,P03,L,1,3,65,8.92,29.738,20,230.0,281.8,285.5,23.7,7.1,5.1,30.0,0.790,0.00069,1.272,0.136,0.303,1.92,0.430,,,
B-P03-L4,连续墩,普通板式,P03,L,1,4,65,8.92,29.759,20,230.0,281.8,285.5,23.7,7.1,5.1,30.0,0.791,0.00086,1.301,0.166,0.310,1.96,0.431,,,
B-P03-L5,连续墩,普通板式,P03,L,1,5,65,8.92,29.981,20,230.0,281.8,285.5,23.9,7.2,5.1,30.0,0.797,0.00109,1.363,0.200,0.325,2.05,0.463,,,
B-P03-R1,连续墩,普通板式,P03,R,1,1,65,8.92,30.801,21,230.0,280.7,282.9,24.4,7.4,5.1,30.0,0.815,0.00120,1.411,0.212,0.336,2.13,0.449,,,
B-P03-R2,连续墩,普通板式,P03,R,1,2,65,8.92,30.428,21,230.0,280.7,282.9,24.1,7.3,5.1,30.0,0.805,0.00088,1.320,0.167,0.314,1.99,0.430,,,
B-P03-R3,连续墩,普通板式,P03,R,1,3,65,8.92,30.250,21,230.0,280.7,282.9,24.0,7.3,5.1,30.0,0.800,0.00075,1.293,0.145,0.308,1.95,0.425,,,
B-P03-R4,连续墩,普通板式,P03,R,1,4,65,8.92,30.270,21,230.0,280.7,282.9,24.0,7.3,5.1,30.0,0.801,0.00089,1.311,0.169,0.312,1.97,0.432,,,
B-P03-R5,连续墩,普通板式,P03,R,1,5,65,8.92,30.487,21,230.0,280.7,282.9,24.2,7.3,5.1,30.0,0.807,0.00113,1.392,0.203,0.331,2.10,0.455,,,
B-P05-L1,连续墩,普通板式,P05,L,2,1,65,8.92,30.265,19,230.0,282.9,288.3,24.2,7.3,5.1,30.0,0.808,0.00112,1.390,0.202,0.331,2.09,0.455,,,
B-P05-L2,连续墩,普通板式,P05,L,2,2,65,8.92,29.879,19,230.0,282.9,288.3,23.9,7.2,5.1,30.0,0.798,0.00088,1.302,0.170,0.310,1.96,0.435,,,
B-P05-L3,连续墩,普通板式,P05,L,2,3,65,8.92,29.691,19,230.0,282.9,288.3,23.8,7.1,5.1,30.0,0.793,0.00070,1.271,0.137,0.303,1.91,0.432,,,
B-P05-L4,连续墩,普通板式,P05,L,2,4,65,8.92,29.705,19,230.0,282.9,288.3,23.8,7.1,5.1,30.0,0.793,0.00086,1.300,0.166,0.310,1.96,0.433,,,
B-P05-L5,连续墩,普通板式,P05,L,2,5,65,8.92,29.920,19,230.0,282.9,288.3,24.0,7.2,5.1,30.0,0.799,0.00109,1.363,0.200,0.324,2.05,0.465,,,
B-P05-R1,连续墩,普通板式,P05,R,2,1,65,8.92,30.857,20,230.0,281.8,285.5,24.6,7.4,5.1,30.0,0.820,0.00119,1.413,0.211,0.336,2.13,0.450,,,
B-P05-R2,连续墩,普通板式,P05,R,2,2,65,8.92,30.477,20,230.0,281.8,285.5,24.3,7.3,5.1,30.0,0.810,0.00089,1.320,0.168,0.314,1.99,0.432,,,
B-P05-R3,连续墩,普通板式,P05,R,2,3,65,8.92,30.291,20,230.0,281.8,285.5,24.2,7.3,5.1,30.0,0.805,0.00075,1.294,0.145,0.308,1.95,0.427,,,
B-P05-R4,连续墩,普通板式,P05,R,2,4,65,8.92,30.303,20,230.0,281.8,285.5,24.2,7.3,5.1,30.0,0.805,0.00089,1.311,0.170,0.312,1.97,0.434,,,
B-P05-R5,连续墩,普通板式,P05,R,2,5,65,8.92,30.512,20,230.0,281.8,285.5,24.3,7.3,5.1,30.0,0.811,0.00113,1.392,0.203,0.331,2.10,0.457,,,
B-P06-L1,连续墩,普通板式,P06,L,2,1,65,8.92,5.324,19,230.0,282.9,288.3,4.3,1.3,5.1,30.0,0.224,0.00083,1.308,0.159,0.311,1.97,0.141,,,
B-P06-L2,连续墩,普通板式,P06,L,2,2,65,8.92,2.875,19,230.0,282.9,288.3,2.3,0.7,5.1,30.0,0.178,0.00061,1.214,0.125,0.289,1.83,0.105,,,
B-P06-L3,连续墩,普通板式,P06,L,2,3,65,8.92,0.423,19,230.0,282.9,288.3,0.3,0.1,5.1,30.0,0.131,0.00047,1.200,0.098,0.286,1.81,0.069,,,
B-P06-L4,连续墩,普通板式,P06,L,2,4,65,8.92,2.026,19,230.0,282.9,288.3,1.6,0.5,5.1,30.0,0.161,0.00060,1.216,0.122,0.290,1.83,0.093,,,
B-P06-L5,连续墩,普通板式,P06,L,2,5,65,8.92,4.475,19,230.0,282.9,288.3,3.6,1.1,5.1,30.0,0.208,0.00081,1.280,0.158,0.305,1.93,0.133,,,
B-P06-R1,连续墩,普通板式,P06,R,2,1,65,8.92,5.334,20,230.0,281.8,285.5,4.3,1.3,5.1,30.0,0.224,0.00087,1.323,0.165,0.315,1.99,0.138,,,
B-P06-R2,连续墩,普通板式,P06,R,2,2,65,8.92,2.881,20,230.0,281.8,285.5,2.3,0.7,5.1,30.0,0.177,0.00063,1.249,0.127,0.297,1.88,0.101,,,
B-P06-R3,连续墩,普通板式,P06,R,2,3,65,8.92,0.432,20,230.0,281.8,285.5,0.3,0.1,5.1,30.0,0.131,0.00049,1.214,0.102,0.289,1.83,0.068,,,
B-P06-R4,连续墩,普通板式,P06,R,2,4,65,8.92,2.016,20,230.0,281.8,285.5,1.6,0.5,5.1,30.0,0.161,0.00062,1.234,0.126,0.294,1.86,0.091,,,
B-P06-R5,连续墩,普通板式,P06,R,2,5,65,8.92,4.469,20,230.0,281.8,285.5,3.6,1.1,5.1,30.0,0.208,0.00084,1.312,0.161,0.312,1.98,0.128,,,
B-P07-L1,连续墩,普通板式,P07,L,2,1,65,8.92,30.265,19,230.0,282.9,288.3,24.2,7.3,5.1,30.0,0.808,0.00112,1.390,0.202,0.331,2.09,0.455,,,
B-P07-L2,连续墩,普通板式,P07,L,2,2,65,8.92,29.879,19,230.0,282.9,288.3,23.9,7.2,5.1,30.0,0.798,0.00088,1.302,0.170,0.310,1.96,0.435,,,
B-P07-L3,连续墩,普通板式,P07,L,2,3,65,8.92,29.691,19,230.0,282.9,288.3,23.8,7.1,5.1,30.0,0.793,0.00070,1.270,0.137,0.302,1.91,0.432,,,
B-P07-L4,连续墩,普通板式,P07,L,2,4,65,8.92,29.705,19,230.0,282.9,288.3,23.8,7.1,5.1,30.0,0.793,0.00086,1.300,0.166,0.310,1.96,0.433,,,
B-P07-L5,连续墩,普通板式,P07,L,2,5,65,8.92,29.920,19,230.0,282.9,288.3,24.0,7.2,5.1,30.0,0.799,0.00109,1.363,0.200,0.324,2.05,0.465,,,
B-P07-R1,连续墩,普通板式,P07,R,2,1,65,8.92,30.857,20,230.0,281.8,285.5,24.6,7.4,5.1,30.0,0.820,0.00119,1.413,0.211,0.336,2.13,0.450,,,
B-P07-R2,连续墩,普通板式,P07,R,2,2,65,8.92,30.477,20,230.0,281.8,285.5,24.3,7.3,5.1,30.0,0.810,0.00089,1.320,0.168,0.314,1.99,0.432,,,
B-P07-R3,连续墩,普通板式,P07,R,2,3,65,8.92,30.291,20,230.0,281.8,285.5,24.2,7.3,5.1,30.0,0.805,0.00075,1.294,0.145,0.308,1.95,0.427,,,
B-P07-R4,连续墩,普通板式,P07,R,2,4,65,8.92,30.303,20,230.0,281.8,285.5,24.2,7.3,5.1,30.0,0.805,0.00089,1.311,0.170,0.312,1.97,0.434,,,
B-P07-R5,连续墩,普通板式,P07,R,2,5,65,8.92,30.512,20,230.0,281.8,285.5,24.3,7.3,5.1,30.0,0.811,0.00113,1.392,0.203,0.331,2.10,0.457,,,
B-P09-L1,连续墩,普通板式,P09,L,3,1,65,8.92,30.308,19,230.0,282.9,288.3,24.3,7.3,5.1,30.0,0.809,0.00112,1.390,0.202,0.331,2.09,0.456,,,
B-P09-L2,连续墩,普通板式,P09,L,3,2,65,8.92,29.937,19,230.0,282.9,288.3,24.0,7.2,5.1,30.0,0.800,0.00088,1.302,0.169,0.310,1.96,0.435,,,
