bearing,kind,support,deck,line,size,R_G1,R_conversion,R_G2,R_continuity,R_G,R_Q_max,R_Q_min,mu,Rck,R_ud_min,Ae_m2,sigma_MPa,utilisation,size_required_m
B-L01-1a,伸缩端,A00,L,1,φ450×77,395.3,0.3,216.4,0.0,612.0,513.4,-60.6,0.1972,1226.7,510.5,0.1521,8.07,0.807,0.405
B-L01-2a,伸缩端,A00,L,2,φ450×77,397.4,0.2,216.5,0.0,614.1,435.1,-30.5,0.1963,1134.6,562.9,0.1521,7.46,0.746,0.390
B-L01-3a,伸缩端,A00,L,3,φ450×77,397.4,0.5,216.7,0.0,614.6,419.6,-23.3,0.1972,1117.0,575.5,0.1521,7.35,0.735,0.387
B-L01-4a,伸缩端,A00,L,4,φ450×77,395.1,0.3,216.2,0.0,611.6,434.4,-30.5,0.1980,1132.1,560.4,0.1521,7.45,0.745,0.390
B-L01-5a,伸缩端,A00,L,5,φ450×77,387.5,0.3,216.5,0.0,604.3,512.0,-60.3,0.2019,1219.6,502.7,0.1521,8.02,0.802,0.404
B-L04-1b,伸缩端,P04,L,1,φ450×77,399.5,0.1,214.8,0.0,614.4,513.3,-60.6,0.1972,1228.9,512.8,0.1521,8.08,0.808,0.406
B-L04-2b,伸缩端,P04,L,2,φ450×77,395.7,0.9,214.7,0.0,611.2,434.8,-30.7,0.1963,1131.4,559.8,0.1521,7.44,0.744,0.390
B-L04-3b,伸缩端,P04,L,3,φ450×77,395.7,-0.7,214.7,0.0,609.8,419.2,-23.5,0.1972,1111.7,570.3,0.1521,7.31,0.731,0.386
B-L04-4b,伸缩端,P04,L,4,φ450×77,393.1,0.6,214.6,0.0,608.3,433.9,-30.7,0.1980,1128.1,556.9,0.1521,7.42,0.742,0.389
B-L04-5b,伸缩端,P04,L,5,φ450×77,381.4,0.2,215.0,0.0,596.6,511.0,-59.8,0.2019,1210.8,496.1,0.1521,7.96,0.796,0.403
B-L05-1a,伸缩端,P04,L,1,φ450×77,399.5,0.1,214.9,0.0,614.4,513.2,-60.6,0.1973,1228.9,512.9,0.1521,8.08,0.808,0.406
B-L05-2a,伸缩端,P04,L,2,φ450×77,395.7,0.8,214.7,0.0,611.2,434.6,-30.6,0.1969,1131.4,559.9,0.1521,7.44,0.744,0.390
B-L05-3a,伸缩端,P04,L,3,φ450×77,395.7,-0.4,214.8,0.0,610.2,419.0,-23.5,0.1980,1112.2,570.8,0.1521,7.31,0.731,0.386
B-L05-4a,伸缩端,P04,L,4,φ450×77,393.1,0.5,214.7,0.0,608.3,433.5,-30.6,0.1991,1128.2,557.0,0.1521,7.42,0.742,0.389
B-L05-5a,伸缩端,P04,L,5,φ450×77,381.4,0.2,215.1,0.0,596.7,510.6,-59.7,0.2036,1211.2,496.1,0.1521,7.97,0.797,0.403
B-L08-1b,伸缩端,P08,L,1,φ450×77,399.4,0.1,214.9,0.0,614.5,513.2,-60.6,0.1973,1228.9,512.9,0.1521,8.08,0.808,0.406
B-L08-2b,伸缩端,P08,L,2,φ450×77,395.6,0.8,214.8,0.0,611.2,434.6,-30.6,0.1969,1131.4,559.9,0.1521,7.44,0.744,0.390
B-L08-3b,伸缩端,P08,L,3,φ450×77,395.7,-0.4,214.9,0.0,610.2,419.0,-23.5,0.1980,1112.2,570.8,0.1521,7.31,0.731,0.386
B-L08-4b,伸缩端,P08,L,4,φ450×77,393.1,0.5,214.7,0.0,608.3,433.5,-30.6,0.1991,1128.2,557.0,0.1521,7.42,0.742,0.389
B-L08-5b,伸缩端,P08,L,5,φ450×77,381.4,0.2,215.1,0.0,596.7,510.6,-59.7,0.2036,1211.2,496.1,0.1521,7.97,0.797,0.403
B-L09-1a,伸缩端,P08,L,1,φ450×77,399.4,0.0,214.9,0.0,614.4,513.3,-60.6,0.1972,1228.9,512.8,0.1521,8.08,0.808,0.406
B-L09-2a,伸缩端,P08,L,2,φ450×77,395.6,0.8,214.8,0.0,611.2,434.8,-30.7,0.1961,1131.3,559.7,0.1521,7.44,0.744,0.390
