eid,class,part,deck,volume_m3
G-L01-1,girder,SUP-L,L,24.6344
G-L01-2,girder,SUP-L,L,24.6346
G-L01-3,girder,SUP-L,L,24.6347
G-L01-4,girder,SUP-L,L,24.4845
G-L01-5,girder,SUP-L,L,24.4846
WJ-L01-1,wet_joint,SUP-L,L,2.7925
WJ-L01-2,wet_joint,SUP-L,L,2.7924
WJ-L01-3,wet_joint,SUP-L,L,2.7839
WJ-L01-4,wet_joint,SUP-L,L,2.7754
CT-L01-1,cantilever,SUP-L,L,2.8062
CT-L01-2,cantilever,SUP-L,L,2.3705
PV-L01,pavement,SUP-L,L,70.2949
BR-L01-1,barrier,SUP-L,L,19.4643
BR-L01-2,barrier,SUP-L,L,19.3247
G-L02-1,girder,SUP-L,L,24.3091
G-L02-2,girder,SUP-L,L,24.3092
G-L02-3,girder,SUP-L,L,24.3094
G-L02-4,girder,SUP-L,L,24.0505
G-L02-5,girder,SUP-L,L,24.0506
WJ-L02-1,wet_joint,SUP-L,L,2.7564
WJ-L02-2,wet_joint,SUP-L,L,2.7562
WJ-L02-3,wet_joint,SUP-L,L,2.7416
WJ-L02-4,wet_joint,SUP-L,L,2.7269
CT-L02-1,cantilever,SUP-L,L,2.9121
CT-L02-2,cantilever,SUP-L,L,2.1890
PV-L02,pavement,SUP-L,L,70.1918
BR-L02-1,barrier,SUP-L,L,19.4837
BR-L02-2,barrier,SUP-L,L,19.2510
G-L03-1,girder,SUP-L,L,24.3102
G-L03-2,girder,SUP-L,L,24.3103
G-L03-3,girder,SUP-L,L,24.0513
G-L03-4,girder,SUP-L,L,24.0513
G-L03-5,girder,SUP-L,L,24.0514
WJ-L03-1,wet_joint,SUP-L,L,2.7682
WJ-L03-2,wet_joint,SUP-L,L,2.7535
WJ-L03-3,wet_joint,SUP-L,L,2.7387
WJ-L03-4,wet_joint,SUP-L,L,2.7385
CT-L03-1,cantilever,SUP-L,L,3.0476
CT-L03-2,cantilever,SUP-L,L,2.0594
