girder,deck,span,pos,g1_kN_m,diaphragm_kN,M_G1_max,M_G_max,M_ud_pos,x_pos_m,M_ud_neg,x_neg_m,V_ud_max,deflection_mm,deflection_limit_mm,deflection_ratio
G-L01-1,L,1,1,25.436,41.06,2729.0,3894.7,9680.8,13.631,-5816.9,29.476,1950.4,11.20,49.29,0.227
G-L01-2,L,1,2,24.193,82.13,2700.2,3859.6,8322.6,13.631,-4840.0,29.476,1784.3,8.18,49.22,0.166
G-L01-3,L,1,3,24.189,82.13,2700.6,3864.2,7506.3,13.631,-4206.6,29.476,1737.3,6.08,49.14,0.124
G-L01-4,L,1,4,24.196,82.13,2668.0,3821.8,8257.2,13.548,-4763.1,29.296,1775.0,8.07,49.07,0.164
G-L01-5,L,1,5,25.065,41.06,2658.0,3816.2,9549.9,13.548,-5769.4,29.297,1940.3,10.95,49.00,0.224
G-L02-1,L,2,1,25.565,41.06,2671.5,3234.8,8085.2,14.543,-6010.6,0.000,1889.7,8.81,49.90,0.177
G-L02-2,L,2,2,24.193,82.12,2632.1,3199.5,6934.3,14.543,-4970.8,0.000,1723.8,6.42,49.78,0.129
G-L02-3,L,2,3,24.187,82.12,2632.9,3185.8,6222.3,14.543,-4296.1,0.000,1675.8,4.75,49.66,0.096
G-L02-4,L,2,4,24.200,82.12,2576.6,3134.6,6827.1,14.389,-4932.6,0.000,1713.1,6.28,49.54,0.127
G-L02-5,L,2,5,24.939,41.06,2553.2,3114.2,7885.9,14.389,-5963.3,0.000,1872.6,8.51,49.42,0.172
G-L03-1,L,3,1,25.691,41.06,2684.5,3251.3,8105.8,14.544,-5968.7,29.088,1890.2,8.79,49.86,0.176
G-L03-2,L,3,2,24.197,82.12,2634.1,3187.3,6912.6,14.544,-4975.8,29.088,1724.0,6.38,49.69,0.128
G-L03-3,L,3,3,24.210,82.12,2577.9,3152.8,6171.9,14.389,-4187.2,28.778,1660.0,4.71,49.53,0.095
G-L03-4,L,3,4,24.204,82.12,2578.0,3127.7,6809.9,14.389,-4890.8,28.778,1713.0,6.23,49.36,0.126
G-L03-5,L,3,5,24.827,41.06,2542.7,3099.0,7854.2,14.389,-5878.3,28.778,1869.1,8.42,49.20,0.171
G-L04-1,L,4,1,25.716,41.06,2758.8,3909.5,9692.2,15.846,-5854.1,0.000,1955.9,11.15,49.20,0.227
G-L04-2,L,4,2,24.229,82.11,2671.7,3824.5,8260.9,15.749,-4729.6,0.000,1773.0,8.08,49.02,0.165
G-L04-3,L,4,3,24.221,82.11,2671.9,3800.0,7402.1,15.749,-4226.5,0.000,1732.9,5.95,48.85,0.122
G-L04-4,L,4,4,24.230,82.11,2635.3,3771.3,8163.1,16.039,-4711.1,0.000,1769.1,7.87,48.67,0.162
G-L04-5,L,4,5,24.819,41.06,2597.5,3730.7,9393.7,16.039,-5761.2,0.000,1931.5,10.62,48.50,0.219
G-L05-1,L,5,1,25.715,41.06,2758.9,3910.4,9693.2,13.633,-5850.7,29.480,1955.8,11.15,49.20,0.227
G-L05-2,L,5,2,24.228,82.11,2671.7,3824.3,8260.9,13.550,-4730.0,29.300,1773.2,8.07,49.02,0.165
G-L05-3,L,5,3,24.220,82.11,2671.9,3805.0,7409.0,13.550,-4212.5,29.300,1732.6,5.95,48.85,0.122
G-L05-4,L,5,4,24.229,82.11,2635.3,3771.7,8164.1,13.051,-4707.8,29.090,1769.3,7.87,48.67,0.162
G-L05-5,L,5,5,24.819,41.06,2597.6,3731.5,9396.7,13.051,-5754.7,29.090,1932.1,10.61,48.50,0.219
G-L06-1,L,6,1,25.725,41.06,2688.3,3253.4,8107.4,14.545,-5969.2,0.000,1890.5,8.79,49.85,0.176
G-L06-2,L,6,2,24.217,82.11,2636.5,3192.6,6918.7,14.545,-4983.3,0.000,1725.3,6.37,49.67,0.128
