deck,unit,line,spans,length_m,elements,L0_max_m,Pk_kN,Cw_end,Cw_mid,f1_Hz,f_neg_Hz,neg_mode,mu_pos,mu_neg,G1_kN,G2_kN,continuity_kN,Mud_pos_max_kNm,Mud_neg_min_kNm,Vud_max_kN,deflection_ratio_max
L,1,1,1–4,119.641,168,29.937,319.87,1.447,1.903,3.3356,6.8906,4,0.1972,0.3254,3162.9,2177.1,285.6,9692.2,-6565.1,1981.5,0.227
L,1,2,1–4,119.323,168,29.866,319.73,1.447,1.902,3.3197,6.8577,4,0.1963,0.3245,3159.0,2177.1,303.4,8322.6,-5433.9,1814.1,0.166
L,1,3,1–4,119.005,168,29.794,319.59,1.447,1.903,3.3354,6.8952,4,0.1972,0.3255,3151.4,2177.1,304.4,7506.3,-4705.6,1769.4,0.124
L,1,4,1–4,118.687,167,29.723,319.45,1.452,1.909,3.3509,6.9597,4,0.1980,0.3271,3135.1,2177.1,344.4,8257.2,-5491.9,1811.9,0.164
L,1,5,1–4,118.368,167,29.651,319.30,1.435,1.903,3.4256,7.0816,4,0.2019,0.3302,3052.7,2177.1,279.3,9549.9,-6525.0,1970.4,0.224
L,2,1,5–8,119.550,168,29.908,319.82,1.447,1.901,3.3381,6.8880,4,0.1973,0.3253,3177.0,2169.6,274.7,9693.3,-6501.9,1981.4,0.227
L,2,2,5–8,119.130,168,29.803,319.61,1.447,1.901,3.3310,6.8746,4,0.1969,0.3249,3157.1,2169.6,301.6,8260.9,-5406.7,1807.5,0.165
L,2,3,5–8,118.710,168,29.698,319.40,1.449,1.906,3.3519,6.9425,4,0.1980,0.3267,3142.4,2169.6,323.5,7409.0,-4690.7,1764.6,0.122
L,2,4,5–8,118.290,166,29.593,319.19,1.460,1.905,3.3732,6.9821,4,0.1991,0.3277,3132.3,2169.6,321.6,8164.1,-5381.4,1803.8,0.162
L,2,5,5–8,117.870,166,29.488,318.98,1.435,1.897,3.4590,7.1150,4,0.2036,0.3310,3036.4,2169.6,246.3,9396.8,-6344.0,1956.0,0.219
L,3,1,9–12,119.665,168,29.946,319.89,1.447,1.904,3.3358,6.8928,4,0.1972,0.3254,3161.9,2173.8,288.1,9692.9,-6566.9,1981.6,0.227
L,3,2,9–12,119.374,168,29.884,319.77,1.447,1.903,3.3165,6.8542,4,0.1961,0.3244,3164.3,2173.8,309.4,8331.3,-5444.1,1814.6,0.166
L,3,3,9–12,119.083,168,29.822,319.64,1.448,1.904,3.3307,6.8906,4,0.1969,0.3254,3156.7,2173.8,312.4,7515.7,-4709.9,1770.1,0.124
L,3,4,9–12,118.792,167,29.760,319.52,1.451,1.908,3.3448,6.9421,4,0.1976,0.3267,3144.5,2173.8,337.2,8300.4,-5436.2,1815.6,0.165
L,3,5,9–12,118.501,167,29.698,319.40,1.435,1.906,3.4174,7.0736,4,0.2014,0.3300,3058.7,2173.8,292.4,9567.0,-6564.5,1971.4,0.224
R,1,1,1–4,121.459,171,30.477,320.95,1.447,1.905,3.2341,6.6746,4,0.1917,0.3197,3207.5,2215.3,288.1,10017.4,-6717.8,2002.6,0.238
R,1,2,1–4,121.141,171,30.378,320.76,1.439,1.908,3.2206,6.6740,4,0.1910,0.3197,3190.3,2215.3,340.8,8543.9,-5588.5,1832.1,0.173
R,1,3,1–4,120.823,170,30.280,320.56,1.447,1.907,3.2361,6.6953,4,0.1918,0.3203,3185.1,2215.3,327.3,7656.3,-4889.3,1783.3,0.128
R,1,4,1–4,120.505,170,30.181,320.36,1.446,1.902,3.2517,6.7034,4,0.1927,0.3205,3184.5,2215.3,294.7,8469.2,-5499.6,1826.3,0.170
R,1,5,1–4,120.186,168,30.082,320.16,1.449,1.908,3.3232,6.8860,4,0.1965,0.3252,3087.0,2215.3,310.4,9686.2,-6640.7,1981.4,0.230
R,2,1,5–8,121.950,172,30.507,321.01,1.457,1.899,3.2077,6.6162,4,0.1903,0.3182,3238.6,2213.4,281.6,10008.2,-6731.5,2002.1,0.238
R,2,2,5–8,121.530,172,30.402,320.80,1.440,1.907,3.2011,6.6390,4,0.1899,0.3188,3207.3,2213.4,341.0,8545.5,-5582.1,1831.3,0.173
R,2,3,5–8,121.110,170,30.297,320.59,1.450,1.906,3.2210,6.6761,4,0.1910,0.3198,3197.2,2213.4,339.4,7656.7,-4887.2,1782.8,0.128
R,2,4,5–8,120.690,170,30.193,320.39,1.447,1.900,3.2413,6.6858,4,0.1921,0.3200,3196.4,2213.4,297.0,8470.3,-5495.7,1825.8,0.170
R,2,5,5–8,120.270,168,30.087,320.17,1.450,1.908,3.3226,6.8911,4,0.1965,0.3254,3077.8,2213.4,318.6,9671.8,-6640.7,1978.1,0.230
R,3,1,9–12,121.329,171,30.439,320.88,1.447,1.903,3.2439,6.7000,4,0.1922,0.3204,3207.4,2198.5,291.0,10023.1,-6705.1,2002.5,0.238
R,3,2,9–12,121.038,171,30.348,320.70,1.439,1.907,3.2254,6.6771,4,0.1912,0.3198,3206.8,2198.5,328.4,8549.4,-5573.8,1831.7,0.173
R,3,3,9–12,120.746,170,30.257,320.51,1.447,1.906,3.2397,6.6975,4,0.1920,0.3203,3201.8,2198.5,317.1,7661.2,-4877.1,1782.9,0.128
R,3,4,9–12,120.455,170,30.167,320.33,1.446,1.901,3.2541,6.7047,4,0.1928,0.3205,3201.2,2198.5,287.9,8473.5,-5489.0,1826.0,0.170
R,3,5,9–12,120.164,168,30.076,320.15,1.449,1.907,3.3259,6.8904,4,0.1966,0.3254,3098.6,2198.5,307.2,9686.5,-6632.2,1979.4,0.230
