girder,deck,span,pos,unit,family,end_a,end_b,offset_m,length_m,half_a_m,half_b_m,skew_a_deg,skew_b_deg,weight_t,order,bed,cast,to_storage,erect,storage_days,age_at_erect
G-L01-1,L,1,1,1,边跨,E,C,2.100,29.48,0.0400,0.4470,-0.446,0.558,64.05,1,1,2026-11-16,2026-11-23,2026-12-07,14,21
G-L01-2,L,1,2,1,边跨,E,C,4.550,29.48,0.0400,0.4038,-0.446,0.558,64.05,2,2,2026-11-16,2026-11-23,2026-12-07,14,21
G-L01-3,L,1,3,1,边跨,E,C,7.000,29.48,0.0400,0.3607,-0.446,0.558,64.05,3,3,2026-11-16,2026-11-23,2026-12-07,14,21
G-L01-4,L,1,4,1,边跨,E,C,9.450,29.30,0.0400,0.4975,-0.446,0.558,63.66,4,4,2026-11-17,2026-11-24,2026-12-07,13,20
G-L01-5,L,1,5,1,边跨,E,C,11.900,29.30,0.0400,0.4543,-0.446,0.558,63.66,5,5,2026-11-17,2026-11-24,2026-12-07,13,20
G-L02-1,L,2,1,1,中跨,C,C,2.100,29.09,0.4255,0.4255,-0.781,0.893,63.20,6,6,2026-11-18,2026-11-25,2026-12-08,13,20
G-L02-2,L,2,2,1,中跨,C,C,4.550,29.09,0.3896,0.3896,-0.781,0.893,63.20,7,7,2026-11-18,2026-11-25,2026-12-08,13,20
G-L02-3,L,2,3,1,中跨,C,C,7.000,29.09,0.3537,0.3537,-0.781,0.893,63.20,8,8,2026-11-19,2026-11-26,2026-12-09,13,20
G-L02-4,L,2,4,1,中跨,C,C,9.450,28.78,0.4728,0.4728,-0.781,0.893,62.53,9,9,2026-11-19,2026-11-26,2026-12-09,13,20
G-L02-5,L,2,5,1,中跨,C,C,11.900,28.78,0.4369,0.4369,-0.781,0.894,62.53,10,10,2026-11-19,2026-11-26,2026-12-09,13,20
G-L03-1,L,3,1,1,中跨,C,C,2.100,29.09,0.4127,0.4127,-1.112,1.195,63.21,11,11,2026-11-20,2026-11-27,2026-12-10,13,20
G-L03-2,L,3,2,1,中跨,C,C,4.550,29.09,0.3633,0.3633,-1.112,1.195,63.21,12,12,2026-11-20,2026-11-27,2026-12-10,13,20
G-L03-3,L,3,3,1,中跨,C,C,7.000,28.78,0.4690,0.4689,-1.112,1.195,62.53,13,13,2026-11-21,2026-11-28,2026-12-11,13,20
G-L03-4,L,3,4,1,中跨,C,C,9.450,28.78,0.4196,0.4196,-1.111,1.195,62.53,14,14,2026-11-21,2026-11-28,2026-12-11,13,20
G-L03-5,L,3,5,1,中跨,C,C,11.900,28.78,0.3703,0.3702,-1.111,1.195,62.53,15,15,2026-11-22,2026-11-29,2026-12-11,12,19
G-L04-1,L,4,1,1,边跨,C,E,2.100,29.48,0.3887,0.0400,-1.228,1.228,64.06,16,16,2026-11-22,2026-11-29,2026-12-12,13,20
G-L04-2,L,4,2,1,边跨,C,E,4.550,29.30,0.4637,0.0400,-1.228,1.228,63.67,17,1,2026-11-23,2026-11-30,2026-12-12,12,19
G-L04-3,L,4,3,1,边跨,C,E,7.000,29.30,0.3587,0.0400,-1.228,1.228,63.67,18,2,2026-11-23,2026-11-30,2026-12-13,13,20
G-L04-4,L,4,4,1,边跨,C,E,9.450,29.09,0.4637,0.0400,-1.228,1.228,63.21,19,3,2026-11-23,2026-11-30,2026-12-13,13,20
G-L04-5,L,4,5,1,边跨,C,E,11.900,29.09,0.3587,0.0400,-1.228,1.228,63.21,20,4,2026-11-24,2026-12-01,2026-12-13,12,19
G-L05-1,L,5,1,2,边跨,E,C,2.100,29.48,0.0400,0.3881,-1.228,1.228,64.06,21,5,2026-11-24,2026-12-01,2026-12-14,13,20
G-L05-2,L,5,2,2,边跨,E,C,4.550,29.30,0.0400,0.4631,-1.228,1.228,63.67,22,6,2026-11-25,2026-12-02,2026-12-14,12,19
G-L05-3,L,5,3,2,边跨,E,C,7.000,29.30,0.0400,0.3581,-1.228,1.228,63.67,23,7,2026-11-25,2026-12-02,2026-12-15,13,20
G-L05-4,L,5,4,2,边跨,E,C,9.450,29.09,0.0400,0.4631,-1.228,1.228,63.21,24,8,2026-11-26,2026-12-03,2026-12-15,12,19
G-L05-5,L,5,5,2,边跨,E,C,11.900,29.09,0.0400,0.3581,-1.228,1.228,63.21,25,9,2026-11-26,2026-12-03,2026-12-15,12,19
G-L06-1,L,6,1,2,中跨,C,C,2.100,29.09,0.4088,0.4088,-1.228,1.228,63.21,26,10,2026-11-26,2026-12-03,2026-12-16,13,20
G-L06-2,L,6,2,2,中跨,C,C,4.550,29.09,0.3563,0.3563,-1.228,1.228,63.21,27,11,2026-11-27,2026-12-04,2026-12-16,12,19
G-L06-3,L,6,3,2,中跨,C,C,7.000,28.78,0.4588,0.4588,-1.228,1.228,62.54,28,12,2026-11-27,2026-12-04,2026-12-17,13,20
G-L06-4,L,6,4,2,中跨,C,C,9.450,28.78,0.4063,0.4063,-1.228,1.228,62.54,29,13,2026-11-28,2026-12-05,2026-12-17,12,19
G-L06-5,L,6,5,2,中跨,C,C,11.900,28.78,0.3538,0.3538,-1.228,1.228,62.54,30,14,2026-11-28,2026-12-05,2026-12-17,12,19
G-L07-1,L,7,1,2,中跨,C,C,2.100,29.09,0.4088,0.4088,-1.228,1.228,63.21,31,15,2026-11-29,2026-12-06,2026-12-18,12,19
G-L07-2,L,7,2,2,中跨,C,C,4.550,29.09,0.3563,0.3563,-1.228,1.228,63.21,32,16,2026-11-29,2026-12-06,2026-12-18,12,19
G-L07-3,L,7,3,2,中跨,C,C,7.000,28.78,0.4588,0.4588,-1.228,1.228,62.54,33,1,2026-11-30,2026-12-07,2026-12-19,12,19
G-L07-4,L,7,4,2,中跨,C,C,9.450,28.78,0.4063,0.4063,-1.228,1.228,62.54,34,2,2026-11-30,2026-12-07,2026-12-19,12,19
G-L07-5,L,7,5,2,中跨,C,C,11.900,28.78,0.3538,0.3538,-1.228,1.228,62.54,35,3,2026-11-30,2026-12-07,2026-12-19,12,19
G-L08-1,L,8,1,2,边跨,C,E,2.100,29.48,0.3878,0.0400,-1.228,1.228,64.06,36,4,2026-12-01,2026-12-08,2026-12-20,12,19
G-L08-2,L,8,2,2,边跨,C,E,4.550,29.30,0.4628,0.0400,-1.228,1.228,63.67,37,5,2026-12-01,2026-12-08,2026-12-20,12,19
G-L08-3,L,8,3,2,边跨,C,E,7.000,29.30,0.3578,0.0400,-1.228,1.228,63.67,38,6,2026-12-02,2026-12-09,2026-12-21,12,19
G-L08-4,L,8,4,2,边跨,C,E,9.450,29.09,0.4628,0.0400,-1.228,1.228,63.21,39,7,2026-12-02,2026-12-09,2026-12-21,12,19
G-L08-5,L,8,5,2,边跨,C,E,11.900,29.09,0.3578,0.0400,-1.228,1.228,63.21,40,8,2026-12-03,2026-12-10,2026-12-21,11,18
G-L09-1,L,9,1,3,边跨,E,C,2.100,29.48,0.0400,0.3882,-1.228,1.228,64.06,41,9,2026-12-03,2026-12-10,2026-12-22,12,19
G-L09-2,L,9,2,3,边跨,E,C,4.550,29.30,0.0400,0.4632,-1.228,1.228,63.67,42,10,2026-12-03,2026-12-10,2026-12-22,12,19
G-L09-3,L,9,3,3,边跨,E,C,7.000,29.30,0.0400,0.3583,-1.228,1.228,63.67,43,11,2026-12-04,2026-12-11,2026-12-23,12,19
G-L09-4,L,9,4,3,边跨,E,C,9.450,29.09,0.0400,0.4633,-1.228,1.228,63.21,44,12,2026-12-04,2026-12-11,2026-12-23,12,19
G-L09-5,L,9,5,3,边跨,E,C,11.900,29.09,0.0400,0.3583,-1.228,1.228,63.21,45,13,2026-12-05,2026-12-12,2026-12-23,11,18
G-L10-1,L,10,1,3,中跨,C,C,2.100,29.09,0.4160,0.4160,-1.116,1.004,63.21,46,14,2026-12-05,2026-12-12,2026-12-24,12,19
G-L10-2,L,10,2,3,中跨,C,C,4.550,29.09,0.3706,0.3706,-1.116,1.004,63.21,47,15,2026-12-06,2026-12-13,2026-12-24,11,18
G-L10-3,L,10,3,3,中跨,C,C,7.000,28.78,0.4802,0.4802,-1.117,1.004,62.53,48,16,2026-12-06,2026-12-13,2026-12-25,12,19
G-L10-4,L,10,4,3,中跨,C,C,9.450,28.78,0.4348,0.4348,-1.117,1.004,62.53,49,1,2026-12-07,2026-12-14,2026-12-25,11,18
G-L10-5,L,10,5,3,中跨,C,C,11.900,28.78,0.3894,0.3894,-1.117,1.004,62.54,50,2,2026-12-07,2026-12-14,2026-12-25,11,18
G-L11-1,L,11,1,3,中跨,C,C,2.100,29.09,0.4291,0.4292,-0.781,0.670,63.21,51,3,2026-12-07,2026-12-14,2026-12-26,12,19
G-L11-2,L,11,2,3,中跨,C,C,4.550,29.09,0.3981,0.3981,-0.782,0.669,63.21,52,4,2026-12-08,2026-12-15,2026-12-26,11,18
G-L11-3,L,11,3,3,中跨,C,C,7.000,29.09,0.3670,0.3670,-0.782,0.669,63.21,53,5,2026-12-08,2026-12-15,2026-12-27,12,19
G-L11-4,L,11,4,3,中跨,C,C,9.450,28.78,0.4908,0.4909,-0.782,0.669,62.53,54,6,2026-12-09,2026-12-16,2026-12-27,11,18
G-L11-5,L,11,5,3,中跨,C,C,11.900,28.78,0.4598,0.4598,-0.782,0.669,62.53,55,7,2026-12-09,2026-12-16,2026-12-27,11,18
G-L12-1,L,12,1,3,边跨,C,E,2.100,29.48,0.4536,0.0400,-0.447,0.335,64.05,56,8,2026-12-10,2026-12-17,2026-12-28,11,18
G-L12-2,L,12,2,3,边跨,C,E,4.550,29.48,0.4200,0.0400,-0.447,0.335,64.05,57,9,2026-12-10,2026-12-17,2026-12-28,11,18
G-L12-3,L,12,3,3,边跨,C,E,7.000,29.48,0.3864,0.0400,-0.447,0.335,64.05,58,10,2026-12-10,2026-12-17,2026-12-29,12,19
G-L12-4,L,12,4,3,边跨,C,E,9.450,29.48,0.3529,0.0400,-0.447,0.335,64.05,59,11,2026-12-11,2026-12-18,2026-12-29,11,18
G-L12-5,L,12,5,3,边跨,C,E,11.900,29.30,0.4993,0.0400,-0.447,0.335,63.66,60,12,2026-12-11,2026-12-18,2026-12-29,11,18
G-R01-1,R,1,1,1,边跨,E,C,-11.900,29.80,0.0400,0.3734,-0.447,0.558,64.74,61,13,2026-12-12,2026-12-19,2027-01-03,15,22
G-R01-2,R,1,2,1,边跨,E,C,-9.450,29.63,0.0400,0.4997,-0.447,0.558,64.37,62,14,2026-12-12,2026-12-19,2027-01-03,15,22
G-R01-3,R,1,3,1,边跨,E,C,-7.000,29.63,0.0400,0.4561,-0.447,0.558,64.38,63,15,2026-12-13,2026-12-20,2027-01-03,14,21
G-R01-4,R,1,4,1,边跨,E,C,-4.550,29.63,0.0400,0.4125,-0.447,0.558,64.38,64,16,2026-12-13,2026-12-20,2027-01-03,14,21
G-R01-5,R,1,5,1,边跨,E,C,-2.100,29.63,0.0400,0.3690,-0.447,0.558,64.38,65,1,2026-12-14,2026-12-21,2027-01-03,13,20
