support,kind,deck,line,width_m
P01,现浇连续段,L,1,0.8725
P01,现浇连续段,L,2,0.7934
P01,现浇连续段,L,3,0.7144
P01,现浇连续段,L,4,0.9703
P01,现浇连续段,L,5,0.8913
P01,现浇连续段,R,1,0.8437
P01,现浇连续段,R,2,0.9340
P01,现浇连续段,R,3,0.8543
P01,现浇连续段,R,4,0.7747
P01,现浇连续段,R,5,0.8552
P02,现浇连续段,L,1,0.8382
P02,现浇连续段,L,2,0.7529
P02,现浇连续段,L,3,0.8227
P02,现浇连续段,L,4,0.8924
P02,现浇连续段,L,5,0.8072
P02,现浇连续段,R,1,0.8401
P02,现浇连续段,R,2,0.9195
P02,现浇连续段,R,3,0.8340
P02,现浇连续段,R,4,0.7485
P02,现浇连续段,R,5,0.9829
P03,现浇连续段,L,1,0.8014
P03,现浇连续段,L,2,0.8270
P03,现浇连续段,L,3,0.8277
P03,现浇连续段,L,4,0.8833
P03,现浇连续段,L,5,0.7290
P03,现浇连续段,R,1,0.8283
P03,现浇连续段,R,2,0.8388
P03,现浇连续段,R,3,0.8944
P03,现浇连续段,R,4,0.7400
P03,现浇连续段,R,5,0.9155
P05,现浇连续段,L,1,0.7969
P05,现浇连续段,L,2,0.8194
P05,现浇连续段,L,3,0.8169
P05,现浇连续段,L,4,0.8694
P05,现浇连续段,L,5,0.7119
P05,现浇连续段,R,1,0.8418
P05,现浇连续段,R,2,0.8493
P05,现浇连续段,R,3,0.9018
P05,现浇连续段,R,4,0.7443
P05,现浇连续段,R,5,0.9168
P06,现浇连续段,L,1,0.8176
P06,现浇连续段,L,2,0.7126
P06,现浇连续段,L,3,0.9176
P06,现浇连续段,L,4,0.8126
P06,现浇连续段,L,5,0.7076
P06,现浇连续段,R,1,0.7675
P06,现浇连续段,R,2,0.9925
P06,现浇连续段,R,3,0.8875
P06,现浇连续段,R,4,0.7826
P06,现浇连续段,R,5,0.9975
P07,现浇连续段,L,1,0.7966
P07,现浇连续段,L,2,0.8191
P07,现浇连续段,L,3,0.8166
P07,现浇连续段,L,4,0.8691
P07,现浇连续段,L,5,0.7116
P07,现浇连续段,R,1,0.8415
P07,现浇连续段,R,2,0.8490
P07,现浇连续段,R,3,0.9015
P07,现浇连续段,R,4,0.7440
P07,现浇连续段,R,5,0.9165
P09,现浇连续段,L,1,0.8042
P09,现浇连续段,L,2,0.8338
P09,现浇连续段,L,3,0.8384
P09,现浇连续段,L,4,0.8980
P09,现浇连续段,L,5,0.7477
P09,现浇连续段,R,1,0.8085
P09,现浇连续段,R,2,0.8230
P09,现浇连续段,R,3,0.8824
P09,现浇连续段,R,4,0.7320
P09,现浇连续段,R,5,0.9115
P10,现浇连续段,L,1,0.8452
P10,现浇连续段,L,2,0.7687
P10,现浇连续段,L,3,0.8472
P10,现浇连续段,L,4,0.9256
P10,现浇连续段,L,5,0.8492
P10,现浇连续段,R,1,0.7971
P10,现浇连续段,R,2,0.8853
P10,现浇连续段,R,3,0.8085
P10,现浇连续段,R,4,0.7317
P10,现浇连续段,R,5,0.9750
P11,现浇连续段,L,1,0.8827
P11,现浇连续段,L,2,0.8181
P11,现浇连续段,L,3,0.7534
P11,现浇连续段,L,4,0.8437
P11,现浇连续段,L,5,0.9591
P11,现浇连续段,R,1,0.9419
P11,现浇连续段,R,2,0.8767
P11,现浇连续段,R,3,0.8115
P11,现浇连续段,R,4,0.7465
P11,现浇连续段,R,5,0.8414
A00,伸缩缝,L,,0.0400
A00,伸缩缝,R,,0.0400
P04,伸缩缝,L,,0.0800
P04,伸缩缝,R,,0.0800
P08,伸缩缝,L,,0.0800
P08,伸缩缝,R,,0.0800
A12,伸缩缝,L,,0.0400
A12,伸缩缝,R,,0.0400
