deck,unit,line,section,at,x_m,M_G1,M_conversion,M_G2,M_G,M_Q,mu,M_ud,M_fd
L,1,1,跨内正弯矩最大,第 1 跨,13.631,2711.3,4.4,1179.0,3894.7,2419.4,0.1972,9601.4,5588.2
L,1,1,墩顶,P01,29.923,0.0,-305.6,-1770.2,-2075.8,-1841.3,0.2272,-6219.8,-3364.7
L,1,1,跨内正弯矩最大,第 2 跨,44.892,2671.5,2.2,561.1,3234.8,2033.3,0.1972,8018.5,4658.1
L,1,1,墩顶,P02,59.860,0.0,-298.6,-1189.3,-1487.9,-1604.3,0.2272,-4995.9,-2610.9
L,1,1,跨内正弯矩最大,第 3 跨,74.817,2684.5,4.8,562.0,3251.3,2032.7,0.1972,8039.2,4674.1
L,1,1,墩顶,P03,89.773,0.0,-293.2,-1752.1,-2045.3,-1832.4,0.2272,-6162.7,-3328.0
L,1,1,跨内正弯矩最大,第 4 跨,106.009,2741.1,0.9,1167.5,3909.5,2415.1,0.1972,9613.1,5600.1
L,1,2,跨内正弯矩最大,第 1 跨,13.631,2679.5,2.6,1177.5,3859.6,1731.2,0.1963,8284.1,5071.5
L,1,2,墩顶,P01,29.880,0.0,-294.2,-1765.7,-2059.9,-1315.1,0.2262,-5202.5,-2980.5
L,1,2,跨内正弯矩最大,第 2 跨,44.813,2632.1,5.8,561.6,3199.5,1454.0,0.1963,6902.0,4217.3
L,1,2,墩顶,P02,59.746,0.0,-275.4,-1183.1,-1458.5,-1143.9,0.2262,-4085.4,-2259.3
L,1,2,跨内正弯矩最大,第 3 跨,74.653,2634.1,-6.0,559.2,3187.3,1451.0,0.1963,6880.4,4203.0
L,1,2,墩顶,P03,89.560,0.0,-297.3,-1750.5,-2047.8,-1309.9,0.2262,-5176.7,-2964.7
L,1,2,跨内正弯矩最大,第 4 跨,105.773,2650.9,11.3,1162.3,3824.5,1723.0,0.1963,8222.7,5030.6
L,1,3,跨内正弯矩最大,第 1 跨,13.631,2680.0,6.2,1178.0,3864.2,1304.8,0.1972,7506.3,4777.5
L,1,3,墩顶,P01,29.837,0.0,-269.0,-1756.8,-2025.8,-987.5,0.2271,-4540.2,-2717.0
L,1,3,跨内正弯矩最大,第 2 跨,44.734,2632.9,-7.7,560.6,3185.8,1094.1,0.1972,6222.3,3951.6
L,1,3,墩顶,P02,59.631,0.0,-299.3,-1184.2,-1483.5,-863.1,0.2271,-3589.3,-2087.7
L,1,3,跨内正弯矩最大,第 3 跨,74.489,2577.9,19.4,555.5,3152.8,1090.3,0.1972,6171.9,3916.1
L,1,3,墩顶,P03,89.347,0.0,-299.8,-1743.4,-2043.2,-984.0,0.2271,-4556.5,-2732.0
L,1,3,跨内正弯矩最大,第 4 跨,105.455,2651.6,-8.6,1157.0,3800.0,1294.3,0.1972,7402.1,4706.0
L,1,4,跨内正弯矩最大,第 1 跨,13.548,2646.9,3.9,1171.1,3821.8,1720.5,0.1980,8219.0,5026.2
L,1,4,墩顶,P01,29.794,0.0,-326.9,-1770.1,-2097.0,-1316.9,0.2281,-5258.6,-3018.8
L,1,4,跨内正弯矩最大,第 2 跨,44.655,2576.6,6.0,552.0,3134.6,1440.4,0.1980,6795.1,4142.9
L,1,4,墩顶,P02,59.517,0.0,-301.7,-1178.3,-1480.0,-1139.9,0.2281,-4109.6,-2278.0
L,1,4,跨内正弯矩最大,第 3 跨,74.325,2578.0,-3.2,552.9,3127.7,1436.1,0.1980,6778.0,4132.9
L,1,4,墩顶,P03,89.134,0.0,-304.0,-1741.2,-2045.2,-1298.6,0.2281,-5155.6,-2954.2
L,1,4,跨内正弯矩最大,第 4 跨,105.636,2598.1,7.1,1163.9,3769.2,1707.4,0.1980,8125.1,4964.3
L,1,5,跨内正弯矩最大,第 1 跨,13.548,2640.6,3.5,1172.2,3816.2,2395.5,0.2019,9471.1,5493.0
L,1,5,墩顶,P01,29.751,0.0,-304.2,-1759.9,-2064.2,-1822.8,0.2318,-6182.3,-3340.1
L,1,5,跨内正弯矩最大,第 2 跨,44.577,2553.2,6.1,554.1,3113.3,2004.7,0.2019,7820.0,4516.6
L,1,5,墩顶,P02,59.402,0.0,-280.7,-1174.5,-1455.2,-1576.4,0.2318,-4911.2,-2558.7
L,1,5,跨内正弯矩最大,第 3 跨,74.161,2542.7,-0.4,556.7,3099.0,1997.8,0.2019,7788.5,4497.5
L,1,5,墩顶,P03,88.921,0.0,-264.2,-1723.9,-1988.1,-1787.7,0.2318,-6015.4,-3239.5
L,1,5,跨内正弯矩最大,第 4 跨,105.318,2564.7,2.7,1163.3,3730.7,2372.4,0.2019,9315.6,5391.4
L,2,1,跨内正弯矩最大,第 5 跨,13.633,2741.2,1.2,1168.1,3910.4,2414.7,0.1973,9614.0,5600.7
L,2,1,墩顶,P05,29.868,0.0,-292.4,-1750.9,-2043.3,-1831.6,0.2273,-6158.9,-3325.4
L,2,1,跨内正弯矩最大,第 6 跨,44.821,2688.3,4.4,560.7,3253.4,2031.8,0.1973,8040.8,4675.6
