beds,lead_days,erect_days,wait_days,storage_peak,storage_max_days,feasible
8,14,105,55,12,11,yes
8,21,98,48,16,14,yes
8,28,91,41,24,21,yes
8,35,84,34,32,28,yes
8,42,77,27,40,35,yes
10,14,84,34,16,11,yes
10,21,77,27,20,14,yes
10,28,70,20,30,21,yes
10,35,63,13,40,28,yes
10,42,56,6,50,35,no
12,14,70,20,19,11,yes
12,21,63,13,24,14,yes
12,28,56,6,36,21,yes
12,35,50,0,48,28,no
12,42,50,0,60,35,no
14,14,60,10,22,11,yes
14,21,53,3,28,14,yes
14,28,50,0,42,21,no
14,35,50,0,56,28,no
14,42,50,0,70,35,no
16,14,53,3,25,11,yes
16,21,50,0,34,15,yes
16,28,50,0,50,22,no
16,35,50,0,64,29,no
16,42,50,0,80,36,no
18,14,50,0,28,11,yes
18,21,50,0,46,18,no
18,28,50,0,60,25,no
18,35,50,0,72,32,no
18,42,50,0,90,39,no
