support,kind,station,deck,ground,cap_top,cap_slope,cap_bottom,column_height_max,pile_tip,columns,piles
A00,桥台,K10+350.000,L,129.840,131.169,0.0255,129.969,0.000,109.969,0,2
A00,桥台,K10+350.000,R,129.630,131.168,-0.0036,129.968,0.000,109.968,0,2
P01,连续墩,K10+380.000,L,128.590,131.640,0.0309,130.040,2.494,99.546,2,2
P01,连续墩,K10+380.000,R,128.380,131.640,0.0127,130.040,2.704,99.336,2,2
P02,连续墩,K10+410.000,L,126.690,132.075,0.0364,130.475,4.828,97.647,2,2
P02,连续墩,K10+410.000,R,126.480,132.074,0.0291,130.474,5.037,97.437,2,2
P03,连续墩,K10+440.000,L,124.268,132.420,0.0400,130.820,7.596,95.224,2,2
P03,连续墩,K10+440.000,R,124.058,132.419,0.0400,130.819,7.805,95.014,2,2
P04,过渡墩,K10+470.000,L,121.759,132.675,0.0400,131.075,10.359,92.716,2,2
P04,过渡墩,K10+470.000,R,121.549,132.675,0.0400,131.075,10.569,92.506,2,2
P05,连续墩,K10+500.000,L,119.832,132.840,0.0400,131.240,12.451,90.789,2,2
P05,连续墩,K10+500.000,R,119.622,132.840,0.0400,131.240,12.661,90.579,2,2
P06,连续墩,K10+530.000,L,119.105,132.915,0.0400,131.315,13.253,90.061,2,2
P06,连续墩,K10+530.000,R,118.895,132.915,0.0400,131.315,13.463,89.852,2,2
P07,连续墩,K10+560.000,L,119.832,132.900,0.0400,131.300,12.511,90.789,2,2
P07,连续墩,K10+560.000,R,119.622,132.900,0.0400,131.300,12.721,90.579,2,2
P08,过渡墩,K10+590.000,L,121.759,132.796,0.0400,131.196,10.480,92.716,2,2
P08,过渡墩,K10+590.000,R,121.549,132.796,0.0400,131.196,10.690,92.506,2,2
P09,连续墩,K10+620.000,L,124.268,132.600,0.0400,131.000,7.775,95.224,2,2
P09,连续墩,K10+620.000,R,124.058,132.599,0.0400,130.999,7.985,95.014,2,2
P10,连续墩,K10+650.000,L,126.690,132.315,0.0345,130.715,5.068,97.647,2,2
P10,连续墩,K10+650.000,R,126.480,132.315,0.0236,130.715,5.278,97.437,2,2
P11,连续墩,K10+680.000,L,128.590,131.960,0.0291,130.360,2.814,99.546,2,2
P11,连续墩,K10+680.000,R,128.380,131.960,0.0073,130.360,3.024,99.336,2,2
A12,桥台,K10+710.000,L,129.840,131.607,0.0236,130.407,0.000,110.407,0,2
A12,桥台,K10+710.000,R,129.630,131.607,-0.0091,130.407,0.000,110.407,0,2
