support_id,support,deck,girder,x,y,top,bottom,height
TS-L01-1b,P01,L,G-L01-1,327.0761,191.7890,132.0180,131.7910,0.2269
TS-L01-2b,P01,L,G-L01-2,325.8389,193.9036,131.9433,131.7153,0.2280
TS-L01-3b,P01,L,G-L01-3,324.6017,196.0182,131.8686,131.6396,0.2290
TS-L01-4b,P01,L,G-L01-4,323.2099,198.0408,131.7910,131.5638,0.2272
TS-L01-5b,P01,L,G-L01-5,321.9727,200.1554,131.7163,131.4881,0.2282
TS-L02-1a,P01,L,G-L02-1,328.4176,192.6092,132.0434,131.7910,0.2525
TS-L02-2a,P01,L,G-L02-2,327.1130,194.6827,131.9668,131.7152,0.2516
TS-L02-3a,P01,L,G-L02-3,325.8083,196.7561,131.8903,131.6395,0.2507
TS-L02-4a,P01,L,G-L02-4,324.6350,198.9120,131.8159,131.5637,0.2522
TS-L02-5a,P01,L,G-L02-5,323.3303,200.9855,131.7394,131.4880,0.2513
TS-R01-1b,P01,R,G-R01-1,334.4209,179.8692,131.9289,131.7020,0.2270
TS-R01-2b,P01,R,G-R01-2,333.0381,181.8971,131.8965,131.6708,0.2257
TS-R01-3b,P01,R,G-R01-3,331.8013,184.0120,131.8672,131.6396,0.2275
TS-R01-4b,P01,R,G-R01-4,330.5644,186.1268,131.8377,131.6084,0.2292
TS-R01-5b,P01,R,G-R01-5,329.3275,188.2416,131.8081,131.5773,0.2308
TS-R02-1a,P01,R,G-R02-1,335.7372,180.6757,131.9563,131.7019,0.2544
TS-R02-2a,P01,R,G-R02-2,334.4323,182.7490,131.9235,131.6708,0.2527
TS-R02-3a,P01,R,G-R02-3,333.1275,184.8224,131.8908,131.6396,0.2512
TS-R02-4a,P01,R,G-R02-4,331.8227,186.8958,131.8582,131.6084,0.2497
TS-R02-5a,P01,R,G-R02-5,330.6534,189.0542,131.8275,131.5772,0.2503
TS-L02-1b,P02,L,G-L02-1,352.4591,207.7024,132.4812,132.2523,0.2289
TS-L02-2b,P02,L,G-L02-2,351.1546,209.7759,132.3930,132.1632,0.2297
TS-L02-3b,P02,L,G-L02-3,349.8502,211.8494,132.3047,132.0742,0.2305
TS-L02-4b,P02,L,G-L02-4,348.4144,213.8405,132.2142,131.9850,0.2292
TS-L02-5b,P02,L,G-L02-5,347.1100,215.9140,132.1260,131.8959,0.2300
TS-L03-1a,P02,L,G-L03-1,353.7473,208.5427,132.5024,132.2522,0.2502
TS-L03-2a,P02,L,G-L03-2,352.3716,210.5694,132.4126,132.1632,0.2494
TS-L03-3a,P02,L,G-L03-3,351.1242,212.6831,132.3245,132.0740,0.2505
TS-L03-4a,P02,L,G-L03-4,349.7485,214.7098,132.2346,131.9849,0.2497
TS-L03-5a,P02,L,G-L03-5,348.3728,216.7365,132.1448,131.8959,0.2489
TS-R02-1b,P02,R,G-R02-1,360.0488,195.9389,132.4436,132.2166,0.2270
TS-R02-2b,P02,R,G-R02-2,358.7445,198.0125,132.3740,132.1453,0.2286
TS-R02-3b,P02,R,G-R02-3,357.4402,200.0862,132.3042,132.0741,0.2302
TS-R02-4b,P02,R,G-R02-4,356.1359,202.1598,132.2344,132.0028,0.2316
TS-R02-5b,P02,R,G-R02-5,354.6960,204.1483,132.1626,131.9315,0.2311
TS-R03-1a,P02,R,G-R03-1,361.3395,196.7790,132.4670,132.2165,0.2504
TS-R03-2a,P02,R,G-R03-2,360.1002,198.8982,132.3965,132.1452,0.2513
TS-R03-3a,P02,R,G-R03-3,358.7244,200.9249,132.3240,132.0740,0.2500
TS-R03-4a,P02,R,G-R03-4,357.3486,202.9516,132.2515,132.0027,0.2488
TS-R03-5a,P02,R,G-R03-5,356.1053,205.0680,132.1807,131.9314,0.2493
TS-L03-1b,P03,L,G-L03-1,377.2471,224.4685,132.8467,132.6150,0.2318
TS-L03-2b,P03,L,G-L03-2,375.8715,226.4952,132.7495,132.5170,0.2325
TS-L03-3b,P03,L,G-L03-3,374.3676,228.4350,132.6505,132.4189,0.2316
TS-L03-4b,P03,L,G-L03-4,372.9920,230.4617,132.5533,132.3210,0.2323
TS-L03-5b,P03,L,G-L03-5,371.6164,232.4884,132.4560,132.2230,0.2330
TS-L04-1a,P03,L,G-L04-1,378.4720,225.3363,132.8623,132.6150,0.2473
TS-L04-2a,P03,L,G-L04-2,377.1158,227.3800,132.7650,132.5169,0.2480
TS-L04-3a,P03,L,G-L04-3,375.6150,229.3165,132.6661,132.4190,0.2471
TS-L04-4a,P03,L,G-L04-4,374.2829,231.3781,132.5690,132.3209,0.2481
TS-L04-5a,P03,L,G-L04-5,372.7821,233.3146,132.4701,132.2230,0.2471
TS-R03-1b,P03,R,G-R03-1,385.3768,213.0695,132.8466,132.6148,0.2318
TS-R03-2b,P03,R,G-R03-2,383.8647,215.0038,132.7478,132.5167,0.2311
TS-R03-3b,P03,R,G-R03-3,382.4892,217.0305,132.6510,132.4187,0.2323
TS-R03-4b,P03,R,G-R03-4,381.1136,219.0573,132.5542,132.3208,0.2335
TS-R03-5b,P03,R,G-R03-5,379.6057,220.9943,132.4558,132.2227,0.2331
TS-R04-1a,P03,R,G-R04-1,386.6223,213.9549,132.8628,132.6147,0.2481
TS-R04-2a,P03,R,G-R04-2,385.1215,215.8914,132.7639,132.5168,0.2471
TS-R04-3a,P03,R,G-R04-3,383.7894,217.9530,132.6668,132.4187,0.2481
TS-R04-4a,P03,R,G-R04-4,382.2886,219.8895,132.5679,132.3208,0.2472
TS-R04-5a,P03,R,G-R04-5,380.9243,221.9273,132.4705,132.2227,0.2478
TS-L05-1b,P05,L,G-L05-1,424.5729,261.0648,133.2719,133.0351,0.2368
TS-L05-2b,P05,L,G-L05-2,422.9323,262.8880,133.1735,132.9370,0.2365
TS-L05-3b,P05,L,G-L05-3,421.4315,264.8245,133.0761,132.8391,0.2370
TS-L05-4b,P05,L,G-L05-4,419.7675,266.6289,132.9775,132.7410,0.2365
TS-L05-5b,P05,L,G-L05-5,418.2666,268.5654,132.8800,132.6431,0.2369
TS-L06-1a,P05,L,G-L06-1,425.7153,262.0318,133.2779,133.0351,0.2428
TS-L06-2a,P05,L,G-L06-2,424.0936,263.8675,133.1798,132.9371,0.2427
TS-L06-3a,P05,L,G-L06-3,422.5880,265.8058,133.0820,132.8390,0.2430
TS-L06-4a,P05,L,G-L06-4,420.9663,267.6415,132.9839,132.7411,0.2429
TS-L06-5a,P05,L,G-L06-5,419.3445,269.4771,132.8858,132.6431,0.2427
TS-R05-1b,P05,R,G-R05-1,433.5609,250.3326,133.2716,133.0350,0.2366
TS-R05-2b,P05,R,G-R05-2,432.0601,252.2691,133.1742,132.9371,0.2371
TS-R05-3b,P05,R,G-R05-3,430.3961,254.0734,133.0756,132.8390,0.2366
TS-R05-4b,P05,R,G-R05-4,428.8952,256.0099,132.9782,132.7411,0.2371
TS-R05-5b,P05,R,G-R05-5,427.2623,257.8395,132.8798,132.6431,0.2367
TS-R06-1a,P05,R,G-R06-1,434.7388,251.3270,133.2778,133.0351,0.2427
TS-R06-2a,P05,R,G-R06-2,433.2407,253.2720,133.1801,132.9370,0.2431
TS-R06-3a,P05,R,G-R06-3,431.6190,255.1076,133.0820,132.8390,0.2429
TS-R06-4a,P05,R,G-R06-4,429.9973,256.9433,132.9838,132.7411,0.2428
TS-R06-5a,P05,R,G-R06-5,428.4954,258.8849,132.8861,132.6430,0.2431
TS-L06-1b,P06,L,G-L06-1,446.9915,280.8284,133.3491,133.1100,0.2390
TS-L06-2b,P06,L,G-L06-2,445.3698,282.6640,133.2512,133.0121,0.2391
TS-L06-3b,P06,L,G-L06-3,443.6319,284.3971,133.1530,132.9140,0.2390
TS-L06-4b,P06,L,G-L06-4,442.0101,286.2328,133.0551,132.8160,0.2390
TS-L06-5b,P06,L,G-L06-5,440.3884,288.0684,132.9572,132.7181,0.2391
TS-L07-1a,P06,L,G-L07-1,448.1069,281.8572,133.3506,133.1100,0.2406
TS-L07-2a,P06,L,G-L07-2,446.4080,283.6217,133.2526,133.0121,0.2406
TS-L07-3a,P06,L,G-L07-3,444.8208,285.4937,133.1546,132.9140,0.2406
TS-L07-4a,P06,L,G-L07-4,443.1219,287.2582,133.0566,132.8160,0.2406
TS-L07-5a,P06,L,G-L07-5,441.4230,289.0227,132.9586,132.7181,0.2405
TS-R06-1b,P06,R,G-R06-1,456.5021,270.5540,133.3492,133.1101,0.2391
TS-R06-2b,P06,R,G-R06-2,454.7567,272.2804,133.2509,133.0120,0.2390
TS-R06-3b,P06,R,G-R06-3,453.1350,274.1161,133.1530,132.9140,0.2390
TS-R06-4b,P06,R,G-R06-4,451.5133,275.9517,133.0552,132.8160,0.2391
TS-R06-5b,P06,R,G-R06-5,449.7716,277.6815,132.9569,132.7180,0.2389
TS-R07-1a,P06,R,G-R07-1,457.5808,271.5488,133.3506,133.1101,0.2406
TS-R07-2a,P06,R,G-R07-2,456.0007,273.4278,133.2526,133.0120,0.2406
TS-R07-3a,P06,R,G-R07-3,454.3018,275.1923,133.1546,132.9140,0.2406
TS-R07-4a,P06,R,G-R07-4,452.6029,276.9568,133.0566,132.8160,0.2406
TS-R07-5a,P06,R,G-R07-5,451.0193,278.8323,132.9586,132.7180,0.2406
TS-L07-1b,P07,L,G-L07-1,468.5583,301.5481,133.3364,133.0951,0.2413
TS-L07-2b,P07,L,G-L07-2,466.8594,303.3126,133.2384,132.9971,0.2412
TS-L07-3b,P07,L,G-L07-3,465.0488,304.9696,133.1404,132.8990,0.2414
TS-L07-4b,P07,L,G-L07-4,463.3500,306.7341,133.0424,132.8011,0.2413
TS-L07-5b,P07,L,G-L07-5,461.6511,308.4986,132.9444,132.7031,0.2412
TS-L08-1a,P07,L,G-L08-1,469.6141,302.6085,133.3334,133.0951,0.2383
TS-L08-2a,P07,L,G-L08-2,467.9291,304.3909,133.2351,132.9970,0.2381
TS-L08-3a,P07,L,G-L08-3,466.1200,306.0430,133.1375,132.8991,0.2384
TS-L08-4a,P07,L,G-L08-4,464.4557,307.8471,133.0391,132.8010,0.2381
TS-L08-5a,P07,L,G-L08-5,462.6466,309.4992,132.9415,132.7031,0.2384
TS-R07-1b,P07,R,G-R07-1,478.5004,291.6906,133.3364,133.0951,0.2413
TS-R07-2b,P07,R,G-R07-2,476.6826,293.3406,133.2384,132.9970,0.2414
TS-R07-3b,P07,R,G-R07-3,474.9837,295.1052,133.1404,132.8990,0.2414
TS-R07-4b,P07,R,G-R07-4,473.2849,296.8697,133.0424,132.8011,0.2413
TS-R07-5b,P07,R,G-R07-5,471.4707,298.5232,132.9444,132.7030,0.2414
TS-R08-1a,P07,R,G-R08-1,479.5864,292.7843,133.3332,133.0950,0.2382
TS-R08-2a,P07,R,G-R08-2,477.7773,294.4364,133.2356,132.9971,0.2385
TS-R08-3a,P07,R,G-R08-3,476.1130,296.2405,133.1372,132.8990,0.2382
TS-R08-4a,P07,R,G-R08-4,474.3039,297.8926,133.0396,132.8011,0.2384
TS-R08-5a,P07,R,G-R08-5,472.6120,299.6677,132.9413,132.7031,0.2383
TS-L09-1b,P09,L,G-L09-1,508.9449,345.6781,133.0408,132.7949,0.2459
TS-L09-2b,P09,L,G-L09-2,507.0172,347.1947,132.9433,132.6968,0.2465
TS-L09-3b,P09,L,G-L09-3,505.2080,348.8468,132.8447,132.5989,0.2457
