date,cast,erected,in_storage
2026-11-23,3,0,3
2026-11-24,2,0,5
2026-11-25,2,0,7
2026-11-26,3,0,10
2026-11-27,2,0,12
2026-11-28,2,0,14
2026-11-29,2,0,16
2026-11-30,3,0,19
2026-12-01,2,0,21
2026-12-02,2,0,23
2026-12-03,3,0,26
2026-12-04,2,0,28
2026-12-05,2,0,30
2026-12-06,2,0,32
2026-12-07,3,5,30
2026-12-08,2,2,30
2026-12-09,2,3,29
2026-12-10,3,2,30
2026-12-11,2,3,29
2026-12-12,2,2,29
2026-12-13,2,3,28
2026-12-14,3,2,29
2026-12-15,2,3,28
2026-12-16,2,2,28
2026-12-17,3,3,28
2026-12-18,2,2,28
2026-12-19,2,3,27
2026-12-20,2,2,27
2026-12-21,3,3,27
2026-12-22,2,2,27
2026-12-23,2,3,26
2026-12-24,3,2,27
2026-12-25,2,3,26
2026-12-26,2,2,26
2026-12-27,2,3,25
2026-12-28,3,2,26
2026-12-29,2,3,25
2026-12-30,2,0,27
2026-12-31,3,0,30
2027-01-01,2,0,32
2027-01-02,2,0,34
2027-01-03,2,5,31
2027-01-04,3,2,32
2027-01-05,2,3,31
2027-01-06,2,2,31
2027-01-07,1,3,31
2027-01-08,0,2,31
2027-01-09,0,3,30
2027-01-10,0,2,30
2027-01-11,0,3,30
2027-01-12,0,2,30
2027-01-13,0,3,29
2027-01-14,0,2,28
2027-01-15,0,3,25
2027-01-16,0,2,23
2027-01-17,0,3,20
2027-01-18,0,2,18
2027-01-19,0,3,15
2027-01-20,0,2,13
2027-01-21,0,3,10
2027-01-22,0,2,8
2027-01-23,0,3,5
2027-01-24,0,2,3
2027-01-25,0,3,0
